protein,scaffold,KO,AMG,KO.name,KO.evalue,KO.score,KO.v.score,Pfam,Pfam.name,Pfam.evalue,Pfam.score,Pfam.v.score.x,VOG,VOG.name,VOG.evalue,VOG.score,VOG.v.score.x,total.genes,all.KEGG,KEGG.v.score,all.Pfam,Pfam.v.score.y,all.VOG,VOG.v.score.y,KEGG.int.rep,KEGG.zero,Pfam.int.rep,Pfam.zero,VOG.redoxin,VOG.rec.tran,VOG.int,VOG.RnR,VOG.DNA,KEGG.restriction.check,KEGG.toxin.check,VOG.special,annotation.check,p_v.check,p_k.check,k_v.check,k.check,p.check,v.check,h.check,type,Quality,prophageID,newName
NODE_40_length_39540_cov_7.109152_48,NODE_40_length_39540_cov_7.109152,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,64,7,10.669999999999998,13,17.709999999999997,17,73.49,0,1,0,3,1,0,0,0,0,0,0,0,6,2,1,0,0,4,9,42,lytic,low quality draft,MB18-69_prophage1,MB18-69
NODE_40_length_39540_cov_7.109152_49,NODE_40_length_39540_cov_7.109152,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,64,7,10.669999999999998,13,17.709999999999997,17,73.49,0,1,0,3,1,0,0,0,0,0,0,0,6,2,1,0,0,4,9,42,lytic,low quality draft,MB18-69_prophage1,MB18-69
NODE_40_length_39540_cov_7.109152_50,NODE_40_length_39540_cov_7.109152,K03530,,hupB; DNA-binding protein HU-beta,3.4000000000000005e-25,81.8,0.45,PF00216.21,Bacterial DNA-binding protein,1.9000000000000001e-25,81.2,0.69,VOG01191,sp|P0A3H0|DBH_GEOSE DNA-binding protein HU,3e-17,55.1,4.97,64,7,10.669999999999998,13,17.709999999999997,17,73.49,0,1,0,3,1,0,0,0,0,0,0,0,6,2,1,0,0,4,9,42,lytic,low quality draft,MB18-69_prophage1,MB18-69
NODE_40_length_39540_cov_7.109152_51,NODE_40_length_39540_cov_7.109152,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,64,7,10.669999999999998,13,17.709999999999997,17,73.49,0,1,0,3,1,0,0,0,0,0,0,0,6,2,1,0,0,4,9,42,lytic,low quality draft,MB18-69_prophage1,MB18-69
NODE_40_length_39540_cov_7.109152_52,NODE_40_length_39540_cov_7.109152,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,64,7,10.669999999999998,13,17.709999999999997,17,73.49,0,1,0,3,1,0,0,0,0,0,0,0,6,2,1,0,0,4,9,42,lytic,low quality draft,MB18-69_prophage1,MB18-69
NODE_40_length_39540_cov_7.109152_53,NODE_40_length_39540_cov_7.109152,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,64,7,10.669999999999998,13,17.709999999999997,17,73.49,0,1,0,3,1,0,0,0,0,0,0,0,6,2,1,0,0,4,9,42,lytic,low quality draft,MB18-69_prophage1,MB18-69
NODE_40_length_39540_cov_7.109152_54,NODE_40_length_39540_cov_7.109152,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,64,7,10.669999999999998,13,17.709999999999997,17,73.49,0,1,0,3,1,0,0,0,0,0,0,0,6,2,1,0,0,4,9,42,lytic,low quality draft,MB18-69_prophage1,MB18-69
NODE_40_length_39540_cov_7.109152_55,NODE_40_length_39540_cov_7.109152,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,64,7,10.669999999999998,13,17.709999999999997,17,73.49,0,1,0,3,1,0,0,0,0,0,0,0,6,2,1,0,0,4,9,42,lytic,low quality draft,MB18-69_prophage1,MB18-69
NODE_40_length_39540_cov_7.109152_56,NODE_40_length_39540_cov_7.109152,K07455,,recT; recombination protein RecT,1.1999999999999999e-52,172.2,1.61,PF03837.14,RecT family,2.5e-29,94.3,2.53,VOG10469,sp|P03698|VBET_LAMBD Recombination protein bet,1.1000000000000002e-19,63.3,10,64,7,10.669999999999998,13,17.709999999999997,17,73.49,0,1,0,3,1,0,0,0,0,0,0,0,6,2,1,0,0,4,9,42,lytic,low quality draft,MB18-69_prophage1,MB18-69
NODE_40_length_39540_cov_7.109152_57,NODE_40_length_39540_cov_7.109152,,,,NA,NA,NA,PF12684.7,PDDEXK-like domain of unknown function (DUF3799),9.8e-15,47,2.21,VOG00690,sp|P15032|RECE_ECOLI Exodeoxyribonuclease 8,3.1e-25,81.3,6.89,64,7,10.669999999999998,13,17.709999999999997,17,73.49,0,1,0,3,1,0,0,0,0,0,0,0,6,2,1,0,0,4,9,42,lytic,low quality draft,MB18-69_prophage1,MB18-69
NODE_40_length_39540_cov_7.109152_58,NODE_40_length_39540_cov_7.109152,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,64,7,10.669999999999998,13,17.709999999999997,17,73.49,0,1,0,3,1,0,0,0,0,0,0,0,6,2,1,0,0,4,9,42,lytic,low quality draft,MB18-69_prophage1,MB18-69
NODE_40_length_39540_cov_7.109152_59,NODE_40_length_39540_cov_7.109152,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,64,7,10.669999999999998,13,17.709999999999997,17,73.49,0,1,0,3,1,0,0,0,0,0,0,0,6,2,1,0,0,4,9,42,lytic,low quality draft,MB18-69_prophage1,MB18-69
NODE_40_length_39540_cov_7.109152_60,NODE_40_length_39540_cov_7.109152,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,64,7,10.669999999999998,13,17.709999999999997,17,73.49,0,1,0,3,1,0,0,0,0,0,0,0,6,2,1,0,0,4,9,42,lytic,low quality draft,MB18-69_prophage1,MB18-69
NODE_40_length_39540_cov_7.109152_61,NODE_40_length_39540_cov_7.109152,,,,NA,NA,NA,,,NA,NA,NA,VOG02771,sp|P03034|RPC1_LAMBD Repressor protein cI,5.6e-13,41.8,10,64,7,10.669999999999998,13,17.709999999999997,17,73.49,0,1,0,3,1,0,0,0,0,0,0,0,6,2,1,0,0,4,9,42,lytic,low quality draft,MB18-69_prophage1,MB18-69
NODE_40_length_39540_cov_7.109152_62,NODE_40_length_39540_cov_7.109152,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,64,7,10.669999999999998,13,17.709999999999997,17,73.49,0,1,0,3,1,0,0,0,0,0,0,0,6,2,1,0,0,4,9,42,lytic,low quality draft,MB18-69_prophage1,MB18-69
NODE_40_length_39540_cov_7.109152_63,NODE_40_length_39540_cov_7.109152,K01607,AMG,pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44],2.5e-44,144.4,0,PF02627.20,Carboxymuconolactone decarboxylase family,1.1e-21,68.9,0,,,NA,NA,NA,64,7,10.669999999999998,13,17.709999999999997,17,73.49,0,1,0,3,1,0,0,0,0,0,0,0,6,2,1,0,0,4,9,42,lytic,low quality draft,MB18-69_prophage1,MB18-69
NODE_40_length_39540_cov_7.109152_64,NODE_40_length_39540_cov_7.109152,,,,NA,NA,NA,PF09820.9,Predicted AAA-ATPase,2.4e-62,203,0,,,NA,NA,NA,64,7,10.669999999999998,13,17.709999999999997,17,73.49,0,1,0,3,1,0,0,0,0,0,0,0,6,2,1,0,0,4,9,42,lytic,low quality draft,MB18-69_prophage1,MB18-69
NODE_51_length_24632_cov_8.489574_1,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_2,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,VOG00377,REFSEQ hypothetical protein,1.1999999999999999e-19,63.5,1.57,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_3,NODE_51_length_24632_cov_8.489574,K06919,,K06919; putative DNA primase/helicase,3.8e-36,117.2,2.86,,,NA,NA,NA,VOG00724,sp|P10277|PRIM_BPP4 Putative P4-specific DNA primase,3.0999999999999993e-65,214.1,6.23,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_4,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_5,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_6,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_7,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_8,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_9,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,PF05133.14,"Phage portal protein, SPP1 Gp6-like",3.9e-39,128,4.16,VOG00213,sp|Q05220|PORTL_BPML5 Portal protein,1.6e-24,79.5,10,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_10,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,PF03237.15,Terminase-like family,2.7999999999999998e-24,79,2.85,VOG00698,REFSEQ terminase large subunit,8.599999999999999e-36,116.7,5.49,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_11,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_12,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_13,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_14,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_15,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_16,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_17,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_18,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_19,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_20,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_21,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_22,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_23,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,PF09669.10,Phage regulatory protein Rha (Phage_pRha),1.3999999999999999e-24,79.6,1.83,VOG23058,REFSEQ antirepressor,3.4e-13,42.7,0.52,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_24,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,PF03374.14,Phage antirepressor protein KilAC domain,7.7e-28,90.1,2.71,VOG00572,sp|P19655|ANT_BPP1 Antirepressor protein 1,2.4e-16,52.9,6.13,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_51_length_24632_cov_8.489574_25,NODE_51_length_24632_cov_8.489574,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,25,1,2.86,4,11.55,6,29.939999999999998,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,19,lytic,low quality draft,MB18-69_prophage2,MB18-69
NODE_37_length_44055_cov_51.338691_1,NODE_37_length_44055_cov_51.338691,K06237,,"COL4A; collagen, type IV, alpha",4.6e-14,43.5,0.93,,,NA,NA,NA,VOG02541,sp|P77147|YDHT_ECOLI Uncharacterized protein YdhT,1.9999999999999997e-31,102.5,0.58,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_2,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_3,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_4,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,PF13479.6,AAA domain,7.7e-39,126.5,2.7,VOG00519,sp|O31907|YORG_BACSU SPBc2 prophage-derived uncharacterized protein YorG,5.9e-38,124,10,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_5,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_6,NODE_37_length_44055_cov_51.338691,K03111,,ssb; single-strand DNA-binding protein,1.1999999999999998e-38,127.2,4.34,PF00436.25,Single-strand binding protein family,2.3999999999999998e-28,91.4,4.28,VOG00404,sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein,1.1999999999999999e-32,106.4,10,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_7,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,VOG00412,REFSEQ hypothetical protein,8.500000000000001e-18,58.2,1.99,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_8,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_9,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_10,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,PF14902.6,Domain of unknown function (DUF4494),2.6e-57,185.7,0.01,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_11,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_12,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_13,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,PF05766.12,Bacteriophage Lambda NinG protein,2.3e-27,89.2,1,VOG02687,sp|P69175|NING_BPVT2 Protein ninG,3.7999999999999996e-35,114.5,3.33,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_14,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_15,NODE_37_length_44055_cov_51.338691,K19789,,radD; DNA repair protein RadD,1.4999999999999995e-103,340.8,3.7,PF04851.15,"Type III restriction enzyme, res subunit",1.6000000000000002e-19,63.6,4.63,VOG00935,sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW,1.2999999999999998e-78,257.5,10,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_16,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,VOG01042,sp|P39787|DNAD_BACSU DNA replication protein DnaD,3.1e-24,78.8,1.48,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_17,NODE_37_length_44055_cov_51.338691,K02315,,dnaC; DNA replication protein DnaC,1.3999999999999999e-14,47,2.36,,,NA,NA,NA,VOG01901,sp|P0AEF0|DNAC_ECOLI DNA replication protein DnaC,1.8999999999999998e-16,53.4,9.05,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_18,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_19,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_20,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_21,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_22,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_23,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,VOG10061,REFSEQ hypothetical protein,6.1e-15,48.7,0.39,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_24,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_25,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_26,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_27,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,VOG02581,REFSEQ hypothetical protein,2.2e-24,79.3,0.17,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_28,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_29,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
NODE_37_length_44055_cov_51.338691_30,NODE_37_length_44055_cov_51.338691,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,69,9,23.779999999999998,12,22.820000000000004,17,83.56999999999998,1,0,1,1,0,0,0,0,4,0,0,5,5,2,1,3,0,4,7,47,lytic,high quality draft,MB18-69_prophage3,MB18-69
